005-info-raw-a,006-info-highpass-a,007-info-hann-a,010-carrier-raw-a,020-carrier-highpass-a,030-carrier-hann-a,042-info-fft-real-a,043-info-fft-imag-a,045-carrier-fft-real-a,047-carrier-fft-imag-a,048-info-fft-real-sq-a,048.5-info-fft-imag-sq-a,049-carrier-fft-real-sq-a,049.5-carrier-fft-imag-sq-a,050-carrier-rfft-added-a,055-info-rfft-added-a,060-carrier-rsqrt-a,070-info-sqrt-a,080-amp-factor-roots-multiplied-a,100-carrier-fft-real-x-reduced-amp-factors-a,150-carrier-fft-imag-x-reduced-amp-factors-a,005-info-raw-b,006-info-highpass-b,007-info-hann-b,010-carrier-raw-b,020-carrier-highpass-b,030-carrier-hann-b,042-info-fft-real-b,043-info-fft-imag-b,045-carrier-fft-real-b,047-carrier-fft-imag-b,048-info-fft-real-sq-b,048.5-info-fft-imag-sq-b,049-carrier-fft-real-sq-b,049.5-carrier-fft-imag-sq-b,050-carrier-rfft-added-b,055-info-rfft-added-b,060-carrier-rsqrt-b,070-info-sqrt-b,080-amp-factor-roots-multiplied-b,090-amp-factor-roots-reduced,100-carrier-fft-real-x-reduced-amp-factors-b,150-carrier-fft-imag-x-reduced-amp-factors-b
0.063857,0.008177,0.000034,-0.075062,-0.066078,-0.000275,2.682625,-0.638805,-2.456152,-1.732145,7.196475,0.408071,6.032682,3.000327,9.033009,7.604546,0.332724,2.757634,0.917530,-0.001465,-0.001033,0.019836,0.023023,0.000096,-0.015076,-0.025872,-0.000107,2.284754,-1.790589,0.532291,0.046549,5.220100,3.206210,0.283334,0.002167,0.285501,8.426310,1.871528,2.902811,5.432691,0.000596,0.001001,0.000008
0.063921,0.015799,0.000072,-0.075943,-0.069390,-0.000316,-2.016628,0.927155,1.132308,0.627086,4.066790,0.859616,1.282122,0.393237,1.675359,4.926405,0.772584,2.219551,1.714790,0.001262,0.000699,0.021667,0.024832,0.000113,-0.015350,-0.026125,-0.000119,-2.005151,1.652537,-3.137040,0.227293,4.020632,2.730878,9.841018,0.051662,9.892680,6.751510,0.317938,2.598367,0.826121,0.001115,0.005284,0.000028
0.087055,0.023230,0.000116,-0.075326,-0.076606,-0.000382,1.976448,-1.356157,0.266226,0.473080,3.906346,1.839163,0.070876,0.223805,0.294681,5.745509,1.842146,2.396979,4.415585,0.000764,0.001358,0.019653,0.022795,0.000114,-0.018036,-0.028788,-0.000143,0.849725,-0.779616,4.172139,-0.866054,0.722033,0.607801,17.406746,0.750049,18.156796,1.329835,0.234682,1.153185,0.270632,0.002870,0.003062,0.000132
0.106966,0.027222,0.000147,-0.065702,-0.082952,-0.000449,-0.698542,0.967366,-0.600353,-0.279685,0.487960,0.935797,0.360424,0.078224,0.438648,1.423757,1.509879,1.193213,1.801607,-0.000703,-0.000328,0.014832,0.017954,0.000097,-0.016052,-0.026781,-0.000145,-0.473714,1.617441,-1.518244,0.723524,0.224405,2.616116,2.305064,0.523487,2.828551,2.840521,0.594591,1.685385,1.002114,0.001171,0.001501,0.000341
0.107285,0.028115,0.000165,-0.056193,-0.089361,-0.000525,0.375290,-1.187293,0.230433,-0.059615,0.140843,1.409665,0.053099,0.003554,0.056653,1.550508,4.201341,1.245194,5.231484,0.000784,-0.000203,0.021271,0.024373,0.000143,-0.020203,-0.030907,-0.000182,-0.033458,-1.207124,0.901093,-0.320183,0.001119,1.457147,0.811968,0.102517,0.914485,1.458267,1.045711,1.207587,1.262787,0.003400,0.000666,0.000084
0.107836,0.030149,0.000191,-0.058896,-0.097376,-0.000618,-1.131052,0.815404,0.132877,0.223813,1.279278,0.664883,0.017656,0.050092,0.067749,1.944161,3.841931,1.394332,5.356927,0.000463,0.000779,0.036560,0.039632,0.000252,-0.032990,-0.043662,-0.000278,0.402142,0.990906,-1.357224,0.257138,0.161719,0.981894,1.842056,0.066120,1.908176,1.143613,0.723920,1.069398,0.774159,0.003482,0.000927,0.000033
0.122358,0.035590,0.000244,-0.067654,-0.103181,-0.000707,2.118334,-0.832617,-0.039966,-0.362203,4.487339,0.693251,0.001597,0.131191,0.132789,5.180590,2.744224,2.276091,6.246103,-0.000162,-0.001471,0.043793,0.046822,0.000321,-0.040161,-0.050790,-0.000348,-0.044022,-1.335134,0.348006,-0.139972,0.001938,1.782583,0.121108,0.019592,0.140700,1.784521,2.665955,1.335860,3.561342,0.004060,0.000280,0.000045
0.137570,0.040324,0.000297,-0.068015,-0.104945,-0.000773,-2.206880,0.594021,-0.006797,0.245352,4.870317,0.352861,0.000046,0.060197,0.060244,5.223178,4.074218,2.285427,9.311330,-0.000041,0.001485,0.044098,0.047082,0.000347,-0.038696,-0.049280,-0.000363,-0.443081,0.644694,0.403017,-0.011131,0.196321,0.415630,0.162422,0.000124,0.162546,0.611951,2.480340,0.782273,1.940303,0.006052,0.000205,0.000000
0.141784,0.039994,0.000316,-0.059457,-0.107023,-0.000846,1.517005,-0.913285,-0.019103,-0.087350,2.301305,0.834090,0.000365,0.007630,0.007995,3.135395,11.183847,1.770705,19.803289,-0.000246,-0.001124,0.048889,0.051824,0.000410,-0.038513,-0.049052,-0.000388,0.698104,-0.637077,-0.554564,0.240925,0.487350,0.405867,0.307541,0.058045,0.365586,0.893217,1.653884,0.945101,1.563088,0.012872,0.000312,0.000059
0.143125,0.037742,0.000319,-0.050476,-0.112297,-0.000949,-0.830452,3.579078,0.038802,0.023587,0.689651,12.809801,0.001506,0.000556,0.002062,13.499453,22.022470,3.674160,80.914078,0.002041,0.001241,0.052032,0.054915,0.000465,-0.039581,-0.050075,-0.000424,-0.710527,0.530707,0.281723,-0.236983,0.504848,0.281650,0.079368,0.056161,0.135529,0.786498,2.716338,0.886847,2.408977,0.052594,0.000124,0.000088
0.148518,0.037982,0.000343,-0.044670,-0.118212,-0.001067,0.369369,-4.963073,-0.003127,-0.055059,0.136433,24.632092,0.000010,0.003031,0.003041,24.768524,18.133110,4.976799,90.244835,-0.000183,-0.003230,0.046814,0.049645,0.000449,-0.036499,-0.046949,-0.000424,0.724705,-0.591005,0.001883,0.044520,0.525198,0.349287,0.000004,0.001982,0.001986,0.874485,22.441568,0.935139,20.985987,0.058659,0.000000,0.000027
0.148262,0.037942,0.000365,-0.045710,-0.119561,-0.001149,1.987934,3.840683,-0.052224,0.143303,3.951880,14.750842,0.002727,0.020536,0.023263,18.702723,6.556406,4.324663,28.354246,-0.000963,0.002641,0.040710,0.043496,0.000419,-0.035126,-0.045534,-0.000438,-0.973163,1.554086,-0.052329,-0.000846,0.947046,2.415183,0.002738,0.000001,0.002739,3.362229,19.107477,1.833638,35.036201,0.018430,0.000062,0.000000
0.138115,0.035637,0.000364,-0.053507,-0.115994,-0.001186,-3.986264,-2.463056,0.014971,-0.024770,15.890303,6.066643,0.000224,0.000614,0.000838,21.956945,34.550755,4.685824,161.898758,0.001575,-0.002607,0.032867,0.035614,0.000365,-0.042175,-0.052539,-0.000538,0.700567,-1.049610,0.054111,-0.012768,0.490794,1.101682,0.002928,0.000163,0.003091,1.592476,17.986526,1.261934,22.697802,0.105234,0.000043,0.000002
0.135776,0.034691,0.000376,-0.055176,-0.115354,-0.001251,2.760779,0.852408,-0.070264,-0.070136,7.621903,0.726600,0.004937,0.004919,0.009856,8.348502,10.072709,2.889377,29.103855,-0.001329,-0.001327,0.014862,0.017583,0.000191,-0.051666,-0.061977,-0.000673,1.290793,1.531479,-0.036361,-0.093239,1.666147,2.345427,0.001322,0.008693,0.010016,4.011574,9.992222,2.002891,20.013334,0.018918,0.000017,0.000113
0.150713,0.034947,0.000402,-0.041306,-0.124072,-0.001426,-1.877497,0.230341,0.227881,0.002442,3.524994,0.053057,0.051930,0.000006,0.051936,3.578051,4.387997,1.891573,8.300218,0.001229,0.000013,-0.005402,-0.002687,-0.000031,-0.054291,-0.064542,-0.000743,-2.323904,-3.823035,0.121848,0.375564,5.400528,14.615599,0.014847,0.141048,0.155895,20.016127,2.532699,4.473938,11.331138,0.005395,0.000109,0.001039
